,pca,pca_umap,pca_tsne
OR10J5,0.999999990615508,0.999999974822241,0.812094027864264
APCS,0.999999991266481,0.01650489361885,0.18689226556525
GPR52,0.999999995555954,0.176025486670016,0.266252611651194
OCLM,0.999999992219406,0.0566411571165075,0.0238413990154596
ZC3H11B,0.999999996191793,0.108486840068747,0.273325472805965
MT1HL1,0.999999996098943,0.236774190716417,0.215549046426751
ZP4,0.99999999728603,0.210470859637943,0.144440501517774
MTRNR2L11,0.999999989725907,0.428231959837317,0.432898448513519
OR2G2,0.999999988505296,0.172234948189027,0.289888803344138
OR2G3,0.999999996249525,0.201144681198879,0.215371470663453
OR14A2,0.999999991915551,0.999999975916749,0.766331316849986
OR14K1,0.999999992088136,0.118763344667164,0.422319157504326
OR2W3,0.999999991880249,0.0537722113722591,0.388157734730625
OR2T8,0.999999985379403,0.243823716610238,0.231835965609142
OR2L8,0.99999999495067,0.139491450052049,0.140049151926034
OR2M5,0.999999995057211,0.419262966942853,0.157853596376571
OR2M2,0.9999999656892,0.231329358303383,0.395690882717683
OR14C36,0.99999998967924,0.705104352474557,0.473484231998289
OR2T4,0.999999995025686,0.120674128311247,0.0420051000515793
OR2T3,0.999999993852595,0.133265243536427,0.426981579993331
OR2T5,0.999999998566979,0.329404623633625,0.0553725208350036
OR2T29,0.999999982627503,0.0472535413730217,0.048046126768529
OR2T27,0.999999981995093,0.0281953474118311,0.0094886516952754
HDGFL1,0.99999998817145,0.322336746407295,0.240519431480429
HIST1H2AA,0.999999995668811,0.046929385870839,0.060492818160066
HIST1H2BA,0.999999996266218,0.0405127990242372,0.0979802259211166
OR2B6,0.999999997293671,0.0702264629635985,0.0565316846230601
OR2W1,0.999999991147467,0.193217329227364,0.239923101206683
OR2J1,0.999999993379543,0.03650621049136,0.0350642671434456
OR12D3,0.999999975650946,0.31421414043709,0.33297628203994
OR12D2,0.999999982855479,0.68111734168749,0.999999939110623
PGK2,0.999999987931648,0.0424464914020472,0.0715496219915768
DEFB113,0.999999996775945,0.154464262158872,0.120143779322822
GSTA1,0.999999996678178,0.0418271900322871,0.0332912819204057
FKBP1C,0.999999992061717,0.274436387026486,0.219635158429472
RFPL4B,0.999999995601952,0.0495831690920132,0.0498915676093039
PBOV1,0.999999994113574,0.092197082728862,0.0884596442578028
IQCF6,0.999999991209208,0.145490492950478,0.999999976524254
IQCF3,0.999999991550943,0.0629436025983754,0.0158092704434453
FRG2C,0.999999986456292,0.0133191728236156,0.0178826595557029
OR5AC2,0.999999981494341,0.243752944499847,0.299158843081557
OR5H14,0.99999999370928,0.0333915958734498,0.0778548497387268
SOX14,0.999999989402042,0.0496452303980643,0.0735303330634407
PRR23A,0.999999982742505,0.344466646720599,0.31114314441687
PRR23B,0.999999994116013,0.108922566237517,0.0741713949947896
PRR23C,0.999999993951153,0.217273783893654,0.442757563748175
ARL14,0.999999986627168,0.0277828562734229,0.0055022207474828
PYDC2,0.999999977272094,0.187778717254141,0.272678176195195
