,pca,pca_umap,pca_tsne
PADI3,0.999999966887013,0.090147118629993,0.0622019603369545
PADI6,0.999999993563163,0.236312362922862,0.14152449950068
LINC02810,0.999999992135205,0.0288806864337309,0.0411641610313241
IGSF21,0.999999994663721,0.204223555847074,0.0785293942039899
PAX7,0.999999979573214,0.0785366687589988,0.124521672053312
AL137127.1,0.999999995125026,0.142315236458764,0.121034996228525
AKR7A3,0.999999991502977,0.0112297131442325,0.0507743917997944
HTR6,0.999999980255265,0.062499283439037,0.187105371664152
PLA2G5,0.999999991547488,0.0555051984049519,0.0447352561061535
PLA2G2D,0.999999995317949,0.0155642237365584,0.094474650350918
PLA2G2C,0.999999991614142,0.139380121304208,0.315984789726986
UBXN10-AS1,0.99999997851432,0.0656707584062618,0.157924410036042
UBXN10,0.999999995095661,0.014151660987113,0.0138188709018041
AL020998.1,0.99999999178926,0.0954583735816408,0.0162723682012094
LINC01141,0.99999998115339,0.398875180333458,0.30556115386247
AL031005.2,0.999999966887013,0.435506388700478,0.476256742860313
ALPL,0.999999995989552,0.0589279217894472,0.0532053674934208
RAP1GAP,0.999999981695456,0.391946591622163,0.337402349189838
LDLRAD2,0.999999997069885,0.0110364929318575,0.0340799579099399
CELA3A,0.999999990840598,0.258877619632134,0.255309703410222
LINC01635,0.999999994925558,0.0434336467107152,0.0125482837906316
AL445253.1,0.999999987541373,0.0080504136579121,0.0193417725778141
C1QA,0.999999997429142,0.245362066226825,0.183124705283862
C1QC,0.999999989560156,0.424097582392884,0.425167616958245
TEX46,0.999999983569004,0.0728433889321273,0.1573675469276
AL109936.6,0.999999992371365,0.202957383574409,0.0456116348044851
ZNF436-AS1,0.999999993460056,0.0245012640534534,0.0113712910875528
AL109936.2,0.999999979014042,0.366284300542504,0.0315041313579413
AL021154.1,0.999999971069101,0.103759525294072,0.110447826057282
AL450043.1,0.999999990870477,0.206931748017522,0.111447262815223
AL590609.3,0.999999991921438,0.0605783486973526,0.115505347025512
AL591178.1,0.999999966618549,0.504432857101794,0.539652289781735
MYOM3,0.999999992090074,0.463563687335909,0.330254634713585
GRHL3,0.999999990170047,0.115250899640131,0.220048786754262
NCMAP,0.999999992175297,0.0108489956424457,0.04109349803827
AL445648.1,0.999999982239773,0.0469977165039587,0.0896400740911047
AL031432.5,0.999999991790196,0.122024508518211,0.0893651547211461
AL031432.3,0.999999993546157,0.0327078219471028,0.057734414356608
AL020996.1,0.999999993853653,0.0783403439232677,0.12499617496481
EXTL1,0.999999955291261,0.517602194394459,0.382475597391804
SLC30A2,0.999999982898406,0.085240835434776,0.0650983513157998
CATSPER4,0.999999978582892,0.0772412506739409,0.0465313220789342
LIN28A,0.999999987494791,0.365463037602535,0.378340512805948
AL512408.1,0.999999977482646,0.0525653477174304,0.186906699823935
TRNP1,0.999999996871305,0.349656461241532,0.318991080872787
TENT5B,0.999999995632468,0.0207133462518573,0.0035392892545925
AL590640.1,0.99999998786885,0.602632194092617,0.999999972426137
FCN3,0.999999989552749,0.183084574932649,0.120610895166236
GPR3,0.999999955573453,0.0910110399400926,0.058635733342737
AL445490.1,0.999999992219693,0.175739316136286,0.160617849829065
AL020997.3,0.999999978460877,0.37752060402468,0.366228385298978
AL020997.4,0.999999988248986,0.111398375080858,0.107357930240421
RAB42,0.999999992701066,0.0214684937129783,0.0082225437934683
OPRD1,0.999999980002143,0.0505656554097772,0.304376027757171
AL357500.1,0.999999979028594,0.0388064278167287,0.0325920423622337
PTPRU,0.99999999444271,0.0071853730728529,0.0486221298090835
LINC01756,0.99999999024069,0.247726911367001,0.360652105310882
MATN1,0.999999995470876,0.161393355423835,0.133975889799516
SERINC2,0.999999996385182,0.103019684689352,0.0629872384014947
HCRTR1,0.999999993546513,0.150231046354731,0.202410680567108
AC114488.2,0.999999987843942,0.342388560329351,0.322614395188216
COL16A1,0.999999991667645,0.416379574529796,0.26978879735818
ADGRB2,0.99999998841847,0.0343718581186439,0.0177130352807183
AL354919.1,0.999999980181193,0.246366409864914,0.254292709289851
AL136115.3,0.999999991690998,0.271204188605171,0.406977754030078
AL049795.2,0.999999961736713,0.313368266735344,0.223413172336959
AL049795.1,0.999999949935855,0.272738520323775,0.199752201296981
FAM167B,0.999999990134431,0.0539431351239345,0.0219361040295521
FNDC5,0.999999992849347,0.10445451896656,0.0787576522771016
AL662907.3,0.999999983719954,0.0520445440909865,0.0514201399440042
A3GALT2,0.999999992347608,0.0060091338481186,0.0066462932119066
AL513327.2,0.999999986161083,0.167873007991545,-0.0001556662608483
AC099565.1,0.999999979467811,0.999999973453723,0.999999947611111
AL354864.1,0.999999995512341,0.294074761848174,0.52530185332971
AL139286.2,0.999999955573453,0.532830493954916,0.430350801039097
GRIK3,0.999999997037998,0.0405968380701205,0.0137500194901088
AL353604.1,0.999999993840764,0.140917348311971,0.179902231359292
